Time [ms],CPU usage [%],GC activity [%],Size [B],Used [B]
"9:38:08.027 PM, Apr 22, 2015",0,0,4514643968,847246888
"9:38:08.028 PM, Apr 22, 2015",0,0,4514643968,847246888
"9:38:08.680 PM, Apr 22, 2015",96.9,0,4514643968,2741515024
"9:38:09.680 PM, Apr 22, 2015",95.3,0,4505731072,1141553128
"9:38:10.680 PM, Apr 22, 2015",81.7,0.5,4511498240,931172744
"9:38:11.691 PM, Apr 22, 2015",94.3,1.8,4527751168,1312191192
"9:38:12.691 PM, Apr 22, 2015",97.4,1.7,4527751168,1615548928
"9:38:13.691 PM, Apr 22, 2015",96.1,1.7,4527751168,1878697688
"9:38:14.691 PM, Apr 22, 2015",100,1.4,4522508288,1848519680
"9:38:15.691 PM, Apr 22, 2015",78,1.1,4499439616,1772814944
"9:38:16.691 PM, Apr 22, 2015",97.1,1.7,4527751168,2196111880
"9:38:17.692 PM, Apr 22, 2015",96.3,1.8,4527751168,2582777848
"9:38:18.692 PM, Apr 22, 2015",96.4,1.7,4527751168,2863707128
"9:38:19.692 PM, Apr 22, 2015",83.2,1.2,4527751168,2495754232
"9:38:20.692 PM, Apr 22, 2015",96.9,1.2,4508352512,3166526096
"9:38:21.692 PM, Apr 22, 2015",92.6,3.2,4526178304,1092621752
"9:38:22.692 PM, Apr 22, 2015",99,0.1,4527226880,1490996160
"9:38:23.692 PM, Apr 22, 2015",90.6,0,4525654016,1552471712
"9:38:24.693 PM, Apr 22, 2015",89.4,1.5,4527751168,2090794784
"9:38:25.693 PM, Apr 22, 2015",95.4,1.8,4527751168,2451212920
"9:38:26.693 PM, Apr 22, 2015",97,1.8,4527751168,2704798376
"9:38:27.693 PM, Apr 22, 2015",97.4,1.6,4524605440,2828866896
"9:38:28.693 PM, Apr 22, 2015",76.4,0,4518838272,2987957616
"9:38:29.694 PM, Apr 22, 2015",93.9,1.6,4527751168,3487334032
"9:38:30.694 PM, Apr 22, 2015",98.8,3.3,4527751168,1378054280
"9:38:31.694 PM, Apr 22, 2015",93.7,1.7,4527751168,1373968392
"9:38:32.694 PM, Apr 22, 2015",83.9,0.9,4487380992,1450150904
"9:38:33.694 PM, Apr 22, 2015",99.8,2,4527751168,1599481088
"9:38:34.694 PM, Apr 22, 2015",36.1,10.1,4581752832,900335024
"9:38:37.607 PM, Apr 22, 2015",100,0,4581752832,1192073896
"9:38:37.721 PM, Apr 22, 2015",0,0,4581752832,1192073896
"9:38:37.729 PM, Apr 22, 2015",0,0,4581752832,1192073896
"9:38:38.695 PM, Apr 22, 2015",92.8,0,4574937088,2015709496
"9:38:39.695 PM, Apr 22, 2015",98.9,0,4573888512,2215146616
"9:38:40.695 PM, Apr 22, 2015",80.8,1.1,4564451328,2480099384
"9:38:41.695 PM, Apr 22, 2015",96.3,1.9,4581752832,2841057960
"9:38:42.695 PM, Apr 22, 2015",92.7,2.7,4566024192,1380400264
"9:38:43.695 PM, Apr 22, 2015",100,0.1,4581752832,1149459944
"9:38:44.695 PM, Apr 22, 2015",81.2,1.3,4571791360,1111836640
"9:38:45.695 PM, Apr 22, 2015",93.9,1.7,4581752832,1566739384
"9:38:46.696 PM, Apr 22, 2015",100,2,4581752832,1779368544
"9:38:47.696 PM, Apr 22, 2015",95,1.7,4581752832,2106929448
"9:38:48.696 PM, Apr 22, 2015",82.4,0.1,4569169920,2015282920
"9:38:49.696 PM, Apr 22, 2015",95.8,1.2,4581752832,2887293560
"9:38:50.696 PM, Apr 22, 2015",96.5,1.7,4581752832,3303986680
"9:38:51.696 PM, Apr 22, 2015",96.5,2,4576509952,1282392800
